,,Martin Heinrich,Nella Louise Domenici,Total Votes Cast,Total Ballots Cast
,,Democratic,Republican,,
Precinct,605,251,175,426,426
Precinct,606,292,260,552,552
Precinct,607,263,168,431,431
Precinct,608,200,340,540,540
Precinct,609,196,123,319,319
Precinct,610,206,151,357,357
Precinct,611,274,223,497,497
Precinct,612,340,269,609,609
Precinct,613,164,29,193,193
Precinct,614,274,193,467,467
Precinct,615,192,204,396,396
Precinct,616,88,100,188,188
Precinct,617,119,63,182,182
Precinct,618,284,145,429,429
Precinct,619,178,117,295,295
Precinct,620,107,79,186,186
Precinct,621,237,150,387,387
Precinct,622,242,200,442,442
Precinct,623,238,199,437,437
Precinct,624,231,199,430,430
Precinct,625,258,172,430,430
Precinct,626,362,287,649,649
Precinct,627,220,138,358,358
Precinct,628,103,101,204,204
Precinct,629,294,187,481,481
Precinct,630,166,132,298,298
Precinct,631,82,76,158,158
Precinct,632,271,211,482,482
Precinct,633,229,146,375,375
Precinct,634,280,91,371,371
Precinct,635,205,241,446,446
Precinct,636,253,275,528,528
Precinct,637,163,130,293,293
Precinct,638,217,177,394,394
Precinct,639,233,203,436,436
Precinct,640,177,48,225,225
Precinct,641,146,116,262,262
Precinct,642,154,71,225,225
Precinct,643,247,191,438,438
Precinct,644,289,200,489,489
Precinct,645,151,133,284,284
Precinct,646,157,77,234,234
Precinct,647,134,113,247,247
Precinct,648,279,259,538,538
Precinct,649,256,181,437,437
Precinct,650,197,138,335,335
Precinct,651,180,160,340,340
Precinct,652,101,98,199,199
Precinct,653,101,52,153,153
Precinct,654,191,117,308,308
Precinct,655,163,122,285,285
Precinct,656,200,148,348,348
Precinct,657,192,145,337,337
Precinct,658,129,58,187,187
Precinct,659,147,130,277,277
Precinct,660,155,89,244,244
Precinct,661,228,169,397,397
Precinct,662,180,151,331,331
Precinct,663,178,91,269,269
Precinct,664,77,67,144,144
Precinct,665,192,195,387,387
Precinct,666,208,85,293,293
Precinct,667,105,186,291,291
Precinct,668,230,204,434,434
Precinct,669,160,85,245,245
Precinct,670,333,131,464,464
Precinct,671,199,106,305,305
Precinct,672,81,80,161,161
Precinct,673,110,153,263,263
Precinct,674,186,126,312,312
Precinct,675,161,131,292,292
Precinct,676,171,158,329,329
Precinct,677,191,86,277,277
Precinct,678,117,96,213,213
Precinct,679,238,143,381,381
Precinct,680,223,172,395,395
Precinct,681,167,110,277,277
Precinct,682,220,205,425,425
Precinct,683,118,150,268,268
Precinct,684,70,118,188,188
Precinct,685,105,94,199,199
Precinct,686,217,177,394,394
Precinct,687,135,70,205,205
Precinct,Voter Privacy,0,0,0,0
County,Catron,615,1676,2291,2291
Precinct,1,113,249,362,362
Precinct,2,108,406,514,514
Precinct,3,100,190,290,290
Precinct,4,42,181,223,223
Precinct,5,78,177,255,255
Precinct,6,25,92,117,117
Precinct,7,95,224,319,319
Precinct,8,40,123,163,163
Precinct,9,14,34,48,48
Precinct,Voter Privacy,0,0,0,0
County,Chaves,6723,14891,21614,21614
Precinct,1,77,343,420,420
Precinct,2,132,286,418,418
Precinct,3,140,335,475,475
Precinct,4,165,264,429,429
Precinct,5,117,365,482,482
Precinct,6,156,316,472,472
Precinct,7,166,453,619,619
Precinct,8,136,412,548,548
Precinct,9,87,208,295,295
Precinct,10,111,544,655,655
Precinct,11,80,252,332,332
Precinct,12,65,380,445,445
Precinct,13,161,348,509,509
Precinct,14,160,288,448,448
Precinct,15,83,178,261,261
Precinct,16,84,207,291,291
Precinct,17,126,319,445,445
Precinct,18,95,262,357,357
Precinct,20,141,267,408,408
Precinct,21,180,460,640,640
Precinct,22,164,298,462,462
Precinct,23,103,211,314,314
Precinct,24,77,107,184,184
Precinct,25,102,128,230,230
Precinct,31,153,290,443,443
Precinct,32,89,126,215,215
Precinct,33,110,207,317,317
Precinct,34,96,116,212,212
Precinct,35,130,236,366,366
Precinct,36,129,436,565,565
Precinct,40,66,253,319,319
Precinct,41,180,371,551,551
Precinct,42,77,132,209,209
Precinct,43,108,127,235,235
Precinct,44,*,22,22,22
Precinct,45,*,13,13,13
Precinct,46,18,67,85,85
Precinct,47,*,*,0,0
Precinct,51,51,78,129,129
Precinct,52,118,215,333,333
Precinct,61,86,71,157,157
Precinct,62,114,115,229,229
Precinct,63,100,135,235,235
Precinct,64,159,139,298,298
Precinct,71,69,232,301,301
Precinct,72,117,236,353,353
Precinct,73,61,202,263,263
Precinct,74,61,127,188,188
Precinct,81,83,110,193,193
Precinct,82,111,192,303,303
Precinct,83,70,152,222,222
Precinct,84,141,302,443,443
Precinct,85,99,200,299,299
