COUNTY,FIPS,SRPREC,ELECTION,SRPREC_KEY,GEO_TYPE,CITY,N_IN_CITY,N
19,06037,9000154A,g24,060379000154A,srprec,SHERMAN OAKS,3903,3906
19,06037,9000172A,g24,060379000172A,srprec,VAN NUYS,4878,4922
19,06037,9000301A,g24,060379000301A,srprec,SYLMAR,3751,3773
19,06037,9000160A,g24,060379000160A,srprec,VAN NUYS,4204,4272
19,06037,9000342B,g24,060379000342B,srprec,GRANADA HILLS,3954,3954
19,06037,9000165A,g24,060379000165A,srprec,NORTH HOLLYWOOD,5145,5261
19,06037,9001962A,g24,060379001962A,srprec,NORTH HOLLYWOOD,2608,3190
19,06037,9001825B,g24,060379001825B,srprec,NORTHRIDGE,3990,3991
19,06037,9000324A,g24,060379000324A,srprec,SAN FERNANDO,1506,2293
19,06037,9000175A,g24,060379000175A,srprec,TARZANA,1256,2237
19,06037,9002269A,g24,060379002269A,srprec,NORTH HILLS,2023,2071
19,06037,9000639A,g24,060379000639A,srprec,TUJUNGA,3266,3267
19,06037,9000780B,g24,060379000780B,srprec,RESEDA,4899,4927
19,06037,9000465A,g24,060379000465A,srprec,ARLETA,3026,3027
19,06037,9006248A,g24,060379006248A,srprec,NORTHRIDGE,4436,4594
19,06037,9003013A,g24,060379003013A,srprec,NORTHRIDGE,5067,6914
19,06037,9000733A,g24,060379000733A,srprec,TARZANA,3639,3674
19,06037,9001695A,g24,060379001695A,srprec,TARZANA,1872,1916
19,06037,9000193A,g24,060379000193A,srprec,VAN NUYS,1250,1250
19,06037,9004123A,g24,060379004123A,srprec,CHATSWORTH,3590,3590
19,06037,9006441A,g24,060379006441A,srprec,RESEDA,1792,3441
19,06037,9007838A,g24,060379007838A,srprec,NORTHRIDGE,2394,4314
19,06037,9001884A,g24,060379001884A,srprec,VENICE,2755,3352
19,06037,9000246B,g24,060379000246B,srprec,WOODLAND HILLS,2182,3793
19,06037,9000236B,g24,060379000236B,srprec,WINNETKA,2604,3251
19,06037,9007864A,g24,060379007864A,srprec,CANOGA PARK,4005,4013
19,06037,9006471B,g24,060379006471B,srprec,CANOGA PARK,1942,3496
19,06037,9000416A,g24,060379000416A,srprec,SUN VALLEY,1539,1548
19,06037,9000212B,g24,060379000212B,srprec,WOODLAND HILLS,5348,5442
19,06037,9002423A,g24,060379002423A,srprec,PLAYA DEL REY,3465,4754
19,06037,9001106A,g24,060379001106A,srprec,SHERMAN OAKS,4420,4421
19,06037,9005667A,g24,060379005667A,srprec,BURBANK,1618,2072
19,06037,9000239B,g24,060379000239B,srprec,LOS ANGELES,1944,2003
19,06037,9000642C,g24,060379000642C,srprec,LOS ANGELES,4522,4599
19,06037,9003004A,g24,060379003004A,srprec,GRANADA HILLS,3674,3675
19,06037,9006220A,g24,060379006220A,srprec,GRANADA HILLS,2910,2911
19,06037,9001276A,g24,060379001276A,srprec,GRANADA HILLS,2560,2570
19,06037,9000259A,g24,060379000259A,srprec,TARZANA,3596,3599
19,06037,9005520A,g24,060379005520A,srprec,ENCINO,5034,5034
19,06037,9007985A,g24,060379007985A,srprec,ENCINO,3363,3365
19,06037,9000631A,g24,060379000631A,srprec,PACOIMA,2615,2684
19,06037,9007957A,g24,060379007957A,srprec,WOODLAND HILLS,4666,4735
19,06037,9000237A,g24,060379000237A,srprec,LOS ANGELES,2596,2596
19,06037,9001578A,g24,060379001578A,srprec,LOS ANGELES,3126,3179
19,06037,9000530A,g24,060379000530A,srprec,LOS ANGELES,4644,4717
19,06037,9003374A,g24,060379003374A,srprec,TUJUNGA,3990,3992
19,06037,9000336B,g24,060379000336B,srprec,LOS ANGELES,3533,3533
19,06037,9002881A,g24,060379002881A,srprec,LOS ANGELES,3735,3735
19,06037,9000244A,g24,060379000244A,srprec,LOS ANGELES,2928,2928
19,06037,9006246A,g24,060379006246A,srprec,GRANADA HILLS,2613,4109
19,06037,9006255A,g24,060379006255A,srprec,GRANADA HILLS,4450,4452
19,06037,9001023A,g24,060379001023A,srprec,LOS ANGELES,4134,4135
19,06037,9001509C,g24,060379001509C,srprec,LOS ANGELES,4175,4175
19,06037,9000249A,g24,060379000249A,srprec,LOS ANGELES,1975,1975
19,06037,9000907A,g24,060379000907A,srprec,LOS ANGELES,2912,2912
19,06037,9004241A,g24,060379004241A,srprec,WOODLAND HILLS,2939,2991
19,06037,9001091A,g24,060379001091A,srprec,ENCINO,3864,4605
19,06037,9000256A,g24,060379000256A,srprec,VALLEY VILLAGE,482,497
19,06037,9000260A,g24,060379000260A,srprec,SHERMAN OAKS,3438,3662
19,06037,9003090A,g24,060379003090A,srprec,NORTH HOLLYWOOD,5042,5172
19,06037,9000263A,g24,060379000263A,srprec,LOS ANGELES,4743,4789
19,06037,9005833A,g24,060379005833A,srprec,LOS ANGELES,4141,4221
19,06037,9001366A,g24,060379001366A,srprec,LOS ANGELES,4371,4371
19,06037,9000268A,g24,060379000268A,srprec,SHERMAN OAKS,4820,4838
19,06037,9000269B,g24,060379000269B,srprec,LOS ANGELES,2955,2955
19,06037,9000272A,g24,060379000272A,srprec,LOS ANGELES,1777,1777
19,06037,9001624B,g24,060379001624B,srprec,LOS ANGELES,1356,1356
19,06037,9002203A,g24,060379002203A,srprec,LOS ANGELES,3760,3760
19,06037,9004120B,g24,060379004120B,srprec,LOS ANGELES,2879,2880
19,06037,9000582A,g24,060379000582A,srprec,LOS ANGELES,3064,3072
19,06037,9001899A,g24,060379001899A,srprec,LOS ANGELES,2242,2248
19,06037,9000584A,g24,060379000584A,srprec,LOS ANGELES,1954,1955
19,06037,9002256B,g24,060379002256B,srprec,SYLMAR,1169,1261
19,06037,9001706A,g24,060379001706A,srprec,LOS ANGELES,2000,2000
19,06037,9001708A,g24,060379001708A,srprec,LOS ANGELES,3158,3159
19,06037,9005205A,g24,060379005205A,srprec,LOS ANGELES,3039,3039
19,06037,9000283A,g24,060379000283A,srprec,LOS ANGELES,3115,3115
19,06037,9002214A,g24,060379002214A,srprec,LOS ANGELES,2378,2378
19,06037,9002489B,g24,060379002489B,srprec,LOS ANGELES,3216,3216
19,06037,9002397A,g24,060379002397A,srprec,LOS ANGELES,3763,3763
19,06037,9000288A,g24,060379000288A,srprec,LOS ANGELES,1965,1965
19,06037,9002521A,g24,060379002521A,srprec,LOS ANGELES,2046,2046
19,06037,9002520A,g24,060379002520A,srprec,LOS ANGELES,2858,2858
19,06037,9002566A,g24,060379002566A,srprec,LOS ANGELES,2424,2424
19,06037,9002529A,g24,060379002529A,srprec,LOS ANGELES,2614,2614
19,06037,9000295A,g24,060379000295A,srprec,LOS ANGELES,2830,2830
19,06037,9002510A,g24,060379002510A,srprec,LOS ANGELES,3200,3200
19,06037,9000296B,g24,060379000296B,srprec,LOS ANGELES,3003,3003
19,06037,9000354A,g24,060379000354A,srprec,LOS ANGELES,2622,2622
19,06037,9000410A,g24,060379000410A,srprec,SHERMAN OAKS,3850,6184
19,06037,9000385A,g24,060379000385A,srprec,NORTH HOLLYWOOD,4079,4167
19,06037,9000882A,g24,060379000882A,srprec,LOS ANGELES,3411,3424
19,06037,9006197A,g24,060379006197A,srprec,SYLMAR,4039,4052
19,06037,9005152A,g24,060379005152A,srprec,STUDIO CITY,5586,5983
19,06037,9006212A,g24,060379006212A,srprec,SYLMAR,4036,4046
19,06037,9007693D,g24,060379007693D,srprec,PACIFIC PALISADES,3945,3991
19,06037,9001754A,g24,060379001754A,srprec,GRANADA HILLS,3544,3544
19,06037,9001575A,g24,060379001575A,srprec,LOS ANGELES,3739,3812
19,06037,9000312A,g24,060379000312A,srprec,SYLMAR,3937,3963
19,06037,9003073A,g24,060379003073A,srprec,PACOIMA,3243,3369
19,06037,9001808A,g24,060379001808A,srprec,WINNETKA,2155,2825
19,06037,9002903A,g24,060379002903A,srprec,PACOIMA,3437,3495
19,06037,9000874A,g24,060379000874A,srprec,LOS ANGELES,3824,3872
19,06037,9000327A,g24,060379000327A,srprec,SAN FERNANDO,1922,2614
19,06037,9004215A,g24,060379004215A,srprec,SAN PEDRO,3129,3132
19,06037,9000334A,g24,060379000334A,srprec,GRANADA HILLS,2511,2513
19,06037,9000405A,g24,060379000405A,srprec,PANORAMA CITY,3731,3736
19,06037,9003185A,g24,060379003185A,srprec,LOS ANGELES,1592,1592
19,06037,9000341A,g24,060379000341A,srprec,HARBOR CITY,1770,1992
19,06037,9002425B,g24,060379002425B,srprec,TORRANCE,4290,4299
19,06037,9001173A,g24,060379001173A,srprec,STUDIO CITY,5910,5971
19,06037,9006269A,g24,060379006269A,srprec,NORTHRIDGE,5575,5702
19,06037,9000352A,g24,060379000352A,srprec,GRANADA HILLS,1763,1764
19,06037,9005401A,g24,060379005401A,srprec,LOS ANGELES,3324,3324
