"Race","Candidate","Party","Votes","PercentageOfTotalVotes","JurisdictionName"
"LEGISLATIVE DISTRICT 20 - State Senator","John Braun","(Prefers Republican Party)",69172,96.53,"Legislative"
"LEGISLATIVE DISTRICT 20 - State Senator","WRITE-IN"," ",2490,3.47,"Legislative"
"LEGISLATIVE DISTRICT 20 - State Representative Pos. 1","Peter Abbarno","(Prefers Republican Party)",67633,87.01,"Legislative"
"LEGISLATIVE DISTRICT 20 - State Representative Pos. 1","Melvin Kaleolani Apana","(Prefers Culture Republican Party)",8295,10.67,"Legislative"
"LEGISLATIVE DISTRICT 20 - State Representative Pos. 1","WRITE-IN"," ",1799,2.31,"Legislative"
"LEGISLATIVE DISTRICT 20 - State Representative Pos. 2","Ed Orcutt","(Prefers GOP Party)",66170,96.65,"Legislative"
"LEGISLATIVE DISTRICT 20 - State Representative Pos. 2","WRITE-IN"," ",2293,3.35,"Legislative"
"Legislative District 21 - State Representative Pos. 1","Strom Peterson","(Prefers Democratic Party)",46705,66.69,"Legislative"
"Legislative District 21 - State Representative Pos. 1","Riaz Khan","(Prefers Republican Party)",23156,33.07,"Legislative"
"Legislative District 21 - State Representative Pos. 1","WRITE-IN"," ",169,0.24,"Legislative"
"Legislative District 21 - State Representative Pos. 2","Lillian Ortiz-Self","(Prefers Democratic Party)",46422,67.13,"Legislative"
"Legislative District 21 - State Representative Pos. 2","Kristina Mitchell","(Prefers Conservative Party)",22579,32.65,"Legislative"
"Legislative District 21 - State Representative Pos. 2","WRITE-IN"," ",156,0.23,"Legislative"
"Legislative District 22 - State Senator","Jessica Bateman","(Prefers Democratic Party)",54904,70.56,"Legislative"
"Legislative District 22 - State Senator","Bob Iyall","(Prefers Democratic Party)",21294,27.36,"Legislative"
"Legislative District 22 - State Senator","WRITE-IN"," ",1618,2.08,"Legislative"
"Legislative District 22 - State Representative Pos. 1","Beth Doglio","(Prefers Democratic Party)",56646,69.6,"Legislative"
"Legislative District 22 - State Representative Pos. 1","Steve Owens","(States No Party Preference)",24229,29.77,"Legislative"
"Legislative District 22 - State Representative Pos. 1","WRITE-IN"," ",510,0.63,"Legislative"
